image_fn,label_fn,group
https://dfc2021.blob.core.windows.net/competition-data/naip-2013/546_naip-2013.tif,https://dfc2021.blob.core.windows.net/competition-data/nlcd-2013/546_nlcd-2013.tif,0
https://dfc2021.blob.core.windows.net/competition-data/naip-2013/597_naip-2013.tif,https://dfc2021.blob.core.windows.net/competition-data/nlcd-2013/597_nlcd-2013.tif,0
https://dfc2021.blob.core.windows.net/competition-data/naip-2013/596_naip-2013.tif,https://dfc2021.blob.core.windows.net/competition-data/nlcd-2013/596_nlcd-2013.tif,0
https://dfc2021.blob.core.windows.net/competition-data/naip-2013/595_naip-2013.tif,https://dfc2021.blob.core.windows.net/competition-data/nlcd-2013/595_nlcd-2013.tif,0
https://dfc2021.blob.core.windows.net/competition-data/naip-2013/541_naip-2013.tif,https://dfc2021.blob.core.windows.net/competition-data/nlcd-2013/541_nlcd-2013.tif,0
https://dfc2021.blob.core.windows.net/competition-data/naip-2013/497_naip-2013.tif,https://dfc2021.blob.core.windows.net/competition-data/nlcd-2013/497_nlcd-2013.tif,0
https://dfc2021.blob.core.windows.net/competition-data/naip-2013/496_naip-2013.tif,https://dfc2021.blob.core.windows.net/competition-data/nlcd-2013/496_nlcd-2013.tif,0
https://dfc2021.blob.core.windows.net/competition-data/naip-2013/545_naip-2013.tif,https://dfc2021.blob.core.windows.net/competition-data/nlcd-2013/545_nlcd-2013.tif,0
https://dfc2021.blob.core.windows.net/competition-data/naip-2013/544_naip-2013.tif,https://dfc2021.blob.core.windows.net/competition-data/nlcd-2013/544_nlcd-2013.tif,0
https://dfc2021.blob.core.windows.net/competition-data/naip-2013/543_naip-2013.tif,https://dfc2021.blob.core.windows.net/competition-data/nlcd-2013/543_nlcd-2013.tif,0
https://dfc2021.blob.core.windows.net/competition-data/naip-2013/542_naip-2013.tif,https://dfc2021.blob.core.windows.net/competition-data/nlcd-2013/542_nlcd-2013.tif,0
https://dfc2021.blob.core.windows.net/competition-data/naip-2013/1033_naip-2013.tif,https://dfc2021.blob.core.windows.net/competition-data/nlcd-2013/1033_nlcd-2013.tif,0
https://dfc2021.blob.core.windows.net/competition-data/naip-2013/1032_naip-2013.tif,https://dfc2021.blob.core.windows.net/competition-data/nlcd-2013/1032_nlcd-2013.tif,0
https://dfc2021.blob.core.windows.net/competition-data/naip-2013/1031_naip-2013.tif,https://dfc2021.blob.core.windows.net/competition-data/nlcd-2013/1031_nlcd-2013.tif,0
https://dfc2021.blob.core.windows.net/competition-data/naip-2013/1030_naip-2013.tif,https://dfc2021.blob.core.windows.net/competition-data/nlcd-2013/1030_nlcd-2013.tif,0
https://dfc2021.blob.core.windows.net/competition-data/naip-2013/1083_naip-2013.tif,https://dfc2021.blob.core.windows.net/competition-data/nlcd-2013/1083_nlcd-2013.tif,0
https://dfc2021.blob.core.windows.net/competition-data/naip-2013/1082_naip-2013.tif,https://dfc2021.blob.core.windows.net/competition-data/nlcd-2013/1082_nlcd-2013.tif,0
